draw_id,draw_date,weekday,n1,n2,n3,n4,n5,n6,bonus,source,layer
2216,2025-07-12,Saturday,3,8,15,18,22,25,16,lotto_draw_history.xlsx,original_workbook
2217,2025-07-16,Wednesday,4,18,25,28,30,33,37,lotto_draw_history.xlsx,original_workbook
2218,2025-07-19,Saturday,1,3,13,27,37,38,15,lotto_draw_history.xlsx,original_workbook
2219,2025-07-23,Wednesday,7,18,24,26,28,33,6,lotto_draw_history.xlsx,original_workbook
2220,2025-07-26,Saturday,4,6,12,27,33,36,15,lotto_draw_history.xlsx,original_workbook
2221,2025-07-30,Wednesday,9,10,13,21,22,30,14,lotto_draw_history.xlsx,original_workbook
2222,2025-08-02,Saturday,4,10,12,18,35,38,21,lotto_draw_history.xlsx,original_workbook
2223,2025-08-06,Wednesday,8,12,19,25,27,38,21,lotto_draw_history.xlsx,original_workbook
2224,2025-08-09,Saturday,1,14,18,23,33,37,24,lotto_draw_history.xlsx,original_workbook
2225,2025-08-13,Wednesday,5,8,11,17,27,30,37,lotto_draw_history.xlsx,original_workbook
2226,2025-08-16,Saturday,2,7,13,18,26,27,11,lotto_draw_history.xlsx,original_workbook
2227,2025-08-20,Wednesday,7,8,13,20,22,38,27,lotto_draw_history.xlsx,original_workbook
2228,2025-08-23,Saturday,4,16,17,26,32,34,14,lotto_draw_history.xlsx,original_workbook
2229,2025-08-27,Wednesday,21,24,25,28,29,34,2,lotto_draw_history.xlsx,original_workbook
2230,2025-08-30,Saturday,2,4,5,30,33,37,10,lotto_draw_history.xlsx,original_workbook
2231,2025-09-03,Wednesday,8,11,13,17,20,25,6,lotto_draw_history.xlsx,original_workbook
2232,2025-09-06,Saturday,8,24,26,29,33,37,17,lotto_draw_history.xlsx,original_workbook
2233,2025-09-10,Wednesday,11,12,21,34,36,37,13,lotto_draw_history.xlsx,original_workbook
2234,2025-09-13,Saturday,2,7,15,16,20,36,31,lotto_draw_history.xlsx,original_workbook
2235,2025-09-17,Wednesday,1,3,20,22,26,27,21,lotto_draw_history.xlsx,original_workbook
2236,2025-09-20,Saturday,1,4,13,14,21,37,34,lotto_draw_history.xlsx,original_workbook
2237,2025-09-24,Wednesday,4,13,17,18,34,35,14,lotto_draw_history.xlsx,original_workbook
2238,2025-09-27,Saturday,1,5,9,14,28,35,11,lotto_draw_history.xlsx,original_workbook
2239,2025-10-01,Wednesday,1,7,17,23,37,38,15,lotto_draw_history.xlsx,original_workbook
2240,2025-10-04,Saturday,10,13,18,24,30,38,9,lotto_draw_history.xlsx,original_workbook
2241,2025-10-08,Wednesday,1,6,8,14,18,32,25,lotto_draw_history.xlsx,original_workbook
2242,2025-10-11,Saturday,1,11,16,18,25,32,8,lotto_draw_history.xlsx,original_workbook
2243,2025-10-15,Wednesday,14,20,23,31,33,37,38,lotto_draw_history.xlsx,original_workbook
2244,2025-10-18,Saturday,6,19,20,28,37,38,26,lotto_draw_history.xlsx,original_workbook
2245,2025-10-22,Wednesday,1,2,10,25,32,34,13,lotto_draw_history.xlsx,original_workbook
2246,2025-10-25,Saturday,11,14,16,23,31,35,12,lotto_draw_history.xlsx,original_workbook
2247,2025-11-01,Saturday,2,13,24,25,35,37,32,lotto_draw_history.xlsx,original_workbook
2248,2025-11-05,Wednesday,4,5,18,20,23,33,19,lotto_draw_history.xlsx,original_workbook
2249,2025-11-08,Saturday,2,15,18,22,27,35,4,lotto_draw_history.xlsx,original_workbook
2250,2025-11-12,Wednesday,3,8,10,12,26,37,14,lotto_draw_history.xlsx,original_workbook
2251,2025-11-15,Saturday,6,10,12,14,20,33,36,lotto_draw_history.xlsx,original_workbook
2262,2025-12-24,Wednesday,13,15,16,17,26,31,10,lotto_draw_history.xlsx,original_workbook
2263,2025-12-27,Saturday,3,4,7,8,24,27,20,lotto_draw_history.xlsx,original_workbook
2264,2025-12-31,Wednesday,3,8,10,20,28,31,13,lotto_draw_history.xlsx,original_workbook
2265,2026-01-03,Saturday,2,3,13,18,21,37,36,lotto_draw_history.xlsx,original_workbook
2266,2026-01-07,Wednesday,7,8,12,20,35,38,11,lotto_draw_history.xlsx,original_workbook
2267,2026-01-10,Saturday,4,9,12,13,15,34,36,lotto_draw_history.xlsx,original_workbook
2268,2026-01-14,Wednesday,15,19,26,31,36,38,11,lotto_draw_history.xlsx,original_workbook
2269,2026-01-17,Saturday,3,4,6,17,23,26,29,lotto_draw_history.xlsx,original_workbook
2270,2026-01-21,Wednesday,6,20,28,32,35,36,13,lotto_draw_history.xlsx,original_workbook
2271,2026-01-24,Saturday,22,23,27,35,36,37,24,lotto_draw_history.xlsx,original_workbook
2272,2026-01-28,Wednesday,2,12,16,19,28,33,11,lotto_draw_history.xlsx,original_workbook
2273,2026-01-31,Saturday,12,20,22,31,37,38,11,lotto_draw_history.xlsx,original_workbook
2274,2026-02-04,Wednesday,5,10,13,16,30,38,27,lotto_draw_history.xlsx,original_workbook
2275,2026-02-07,Saturday,1,13,18,29,31,34,37,lotto_draw_history.xlsx,original_workbook
2276,2026-02-11,Wednesday,3,7,16,17,31,33,25,lotto_draw_history.xlsx,original_workbook
2277,2026-02-14,Saturday,7,8,18,31,32,34,24,lotto_draw_history.xlsx,original_workbook
2278,2026-02-18,Wednesday,8,13,25,30,34,38,26,lotto_draw_history.xlsx,original_workbook
2279,2026-02-21,Saturday,1,4,6,8,14,35,26,lotto_draw_history.xlsx,original_workbook
2280,2026-02-25,Wednesday,2,18,24,27,29,32,31,lotto_draw_history.xlsx,original_workbook
2281,2026-02-28,Saturday,4,8,10,12,26,36,30,lotto_draw_history.xlsx,original_workbook
2282,2026-03-04,Wednesday,6,12,14,16,35,38,30,lotto_draw_history.xlsx,original_workbook
2283,2026-03-07,Saturday,2,4,8,16,26,29,23,lotto_draw_history.xlsx,original_workbook
2284,2026-03-11,Wednesday,8,15,17,27,36,38,9,lotto_draw_history.xlsx,original_workbook
2285,2026-03-14,Saturday,7,15,19,20,30,33,14,lotto_draw_history.xlsx,original_workbook
2286,2026-03-18,Wednesday,1,8,12,13,30,38,26,lotto_draw_history.xlsx,original_workbook
2287,2026-03-21,Saturday,2,4,11,12,32,34,13,lotto_draw_history.xlsx,original_workbook
2288,2026-03-25,Wednesday,3,7,12,29,35,36,21,lotto_draw_history.xlsx,original_workbook
2289,2026-03-28,Saturday,4,16,21,24,25,37,7,lotto_draw_history.xlsx,original_workbook
2290,2026-04-01,Wednesday,5,6,8,15,23,33,11,lotto_draw_history.xlsx,original_workbook
2291,2026-04-04,Saturday,8,10,16,31,33,35,5,lotto_draw_history.xlsx,original_workbook
2292,2026-04-08,Wednesday,11,13,15,24,32,36,12,lotto_draw_history.xlsx,original_workbook
2293,2026-04-11,Saturday,6,17,22,25,35,37,5,lotto_draw_history.xlsx,original_workbook
2294,2026-04-15,Wednesday,9,12,19,21,22,35,34,lotto_draw_history.xlsx,original_workbook
2295,2026-04-18,Saturday,2,5,20,22,26,35,33,lotto_draw_history.xlsx,original_workbook
2296,2026-04-22,Wednesday,1,7,23,27,31,38,15,lotto_draw_history.xlsx,original_workbook
2297,2026-04-25,Saturday,6,9,17,20,22,38,7,lotto_draw_history.xlsx,original_workbook
2298,2026-04-29,Wednesday,9,15,17,21,25,28,24,lotto_draw_history.xlsx,original_workbook
2299,2026-05-02,Saturday,2,15,24,30,35,36,14,lotto_draw_history.xlsx,original_workbook
2300,2026-05-06,Wednesday,5,6,18,27,29,38,7,lotto_draw_history.xlsx,original_workbook
2301,2026-05-09,Saturday,1,25,26,27,28,37,30,lotto_draw_history.xlsx,original_workbook
2302,2026-05-13,Wednesday,21,23,29,32,36,38,15,lotto_draw_history.xlsx,original_workbook
2303,2026-05-16,Saturday,1,6,25,34,35,36,17,lotto_draw_history.xlsx,original_workbook
2304,2026-05-20,Wednesday,3,6,9,10,14,15,26,lotto_draw_history.xlsx,original_workbook
2305,2026-05-23,Saturday,7,16,17,18,30,31,3,lotto_draw_history.xlsx,original_workbook
2306,2026-05-27,Wednesday,9,10,17,20,31,32,24,lotto_draw_history.xlsx,original_workbook
2307,2026-05-30,Saturday,18,23,27,31,35,36,16,lotto_draw_history.xlsx,original_workbook
2308,2026-06-03,Wednesday,6,8,11,13,20,34,28,lotto_draw_history.xlsx,original_workbook
2309,2026-06-06,Saturday,1,10,11,32,33,36,3,lotto_draw_history.xlsx,original_workbook
2310,2026-06-10,Wednesday,3,9,10,31,32,35,17,lotto_draw_history.xlsx,original_workbook
2311,2026-06-13,Saturday,8,26,30,35,37,38,4,lotto_draw_history.xlsx,original_workbook
2312,2026-06-17,Wednesday,14,15,16,19,30,38,24,lotto_draw_history.xlsx,original_workbook
2313,2026-06-20,Saturday,8,9,14,23,30,36,13,lotto_draw_history.xlsx,original_workbook
2314,2026-06-24,Wednesday,14,17,18,23,25,34,27,lotto_draw_history.xlsx,original_workbook
2315,2026-06-27,Saturday,8,9,19,24,29,36,13,lotto_draw_history.xlsx,original_workbook
2316,2026-07-01,Wednesday,13,16,23,25,30,38,18,lotto_draw_history.xlsx,original_workbook
2317,2026-07-04,Saturday,9,14,16,21,27,34,32,lotto_draw_history.xlsx,original_workbook
2318,2026-07-08,Wednesday,16,22,24,30,32,37,25,lotto_draw_history.xlsx,original_workbook
2319,2026-07-11,Saturday,8,10,12,15,22,24,28,lotto_draw_history.xlsx,original_workbook
2320,2026-07-15,Wednesday,1,6,13,15,29,36,12,lotto_draw_history.xlsx,original_workbook
2321,2026-07-18,Saturday,1,6,19,31,33,35,29,lotto_draw_history.xlsx,original_workbook
2322,2026-07-22,Wednesday,4,10,11,24,25,38,13,lotto_draw_history.xlsx,original_workbook
2323,2026-07-25,Saturday,14,15,25,28,34,38,23,lotto_draw_history.xlsx,original_workbook
2324,2026-07-29,Wednesday,3,4,12,22,24,38,25,lotto_draw_history.xlsx,original_workbook
2325,2026-08-01,Saturday,2,8,9,31,33,35,34,lotto_draw_history.xlsx,original_workbook
2326,2026-08-05,Wednesday,2,10,14,31,35,38,19,lotto_draw_history.xlsx,original_workbook
2327,2026-08-08,Saturday,2,12,14,20,24,27,8,lotto_draw_history.xlsx,original_workbook
2328,2026-08-12,Wednesday,5,7,10,12,23,31,37,lotto_draw_history.xlsx,original_workbook
2329,2026-08-15,Saturday,3,4,13,19,22,26,30,lotto_draw_history.xlsx,original_workbook
2330,2026-08-19,Wednesday,2,7,15,26,32,37,1,lotto_draw_history.xlsx,original_workbook
2331,2026-08-22,Saturday,8,13,22,23,24,33,12,lotto_draw_history.xlsx,original_workbook
2332,2026-08-26,Wednesday,7,9,17,22,24,37,3,lotto_draw_history.xlsx,original_workbook
2333,2026-08-29,Saturday,4,9,12,13,21,35,23,lotto_draw_history.xlsx,original_workbook
2334,2026-09-02,Wednesday,1,2,4,7,19,30,17,lotto_draw_history.xlsx,original_workbook
2335,2026-09-05,Saturday,1,6,10,15,18,20,5,lotto_draw_history.xlsx,original_workbook
2336,2026-09-09,Wednesday,8,9,13,17,24,36,12,User result screenshot IMG_3149.jpeg,original_workbook
2337,2026-09-12,Saturday,2,4,7,18,25,29,35,User result screenshot IMG_3198.jpeg,original_workbook
2338,2026-09-16,Wednesday,1,3,10,13,18,29,17,Supplied by the user in the clean-room session prompt (2026-09-23),recent_addition_user_supplied
2339,2026-09-19,Saturday,1,4,6,13,23,28,20,Supplied by the user in the clean-room session prompt (2026-09-23),recent_addition_user_supplied
